Frequência (Hz)	Nível (dB)
20327,343750	-78,960625
20370,410156	-79,594810
20413,476562	-79,694519
20456,542969	-79,026909
20499,609375	-79,370865
20542,675781	-80,074173
20585,742188	-80,108742
20628,808594	-79,928307
20671,875000	-80,030136
20714,941406	-81,012390
20758,007812	-81,280212
20801,074219	-81,527695
20844,140625	-82,211098
20887,207031	-82,208641
20930,273438	-83,139656
20973,339844	-83,403870
21016,406250	-83,440277
21059,472656	-84,528656
21102,539062	-85,023857
21145,605469	-85,380424
21188,671875	-86,116562
21231,738281	-86,248016
21274,804688	-86,152428
21317,871094	-87,229660
21360,937500	-87,704483
21404,003906	-87,776443
21447,070312	-88,020569
21490,136719	-88,965729
21533,203125	-89,776703
21576,269531	-90,749176
21619,335938	-91,122276
21662,402344	-92,200691
21705,468750	-93,506073
21748,535156	-94,412750
21791,601562	-95,188339
21834,667969	-96,454872
21877,734375	-98,469551
21920,800781	-99,384407
21963,867188	-101,466431
22006,933594	-101,789711
